id,titulo,año,pais,tipo
5628,Neuville-sur-Saône: Débarquement du congrès des photographes à Lyon (C),1895,Francia,Cortometraje
5629,"Sábado noche, domingo mañana",1960,Reino Unido,Película
5630,Un lugar en la cumbre,1959,Reino Unido,Película
5631,Lejos del mundanal ruido,1967,Reino Unido,Película
5632,El ingenuo salvaje,1963,Reino Unido,Película
5633,La última carga,1968,Reino Unido,Película
5634,Mirando hacia atrás con ira,1958,Reino Unido,Película
5635,Darling,1965,Reino Unido,Película
5636,Un sabor a miel,1961,Reino Unido,Película
5637,Un hombre de suerte,1973,Reino Unido,Película
5638,"Billy, el embustero",1963,Reino Unido,Película
5639,Cuando el viento silba,1961,Reino Unido,Película
5640,El animador,1960,Reino Unido,Película
5641,Esa clase de amor,1962,Reino Unido,Película
5642,Escándalo en las aulas,1962,Reino Unido,Película
5643,La habitación en forma de L (El cuarto indiscreto),1962,Reino Unido,Película
5644,O Dreamland (C),1953,Reino Unido,Cortometraje
5645,"Morgan, un caso clínico",1966,Reino Unido,Película
5646,Pobre vaca,1967,Reino Unido,Película
5647,Amargo silencio,1960,Reino Unido,Película
5648,Momma Don't Allow (C),1955,Reino Unido,Cortometraje
5649,La chica de los ojos verdes,1964,Reino Unido,Película
5650,The Whisperers,1967,Reino Unido,Película
5651,Nice Time (C),1957,Reino Unido,Cortometraje
5652,Night Must Fall,1964,Reino Unido,Película
5653,Together,1956,Reino Unido,Película
5654,The Singing Street (C),1951,Reino Unido,Cortometraje
5655,We Are the Lambeth Boys,1958,Reino Unido,Película
5656,Agente contrainteligente,2016,Reino Unido,Película
5657,The Damned United,2009,Reino Unido,Película
5658,Ella es el chico,2006,Estados Unidos,Película
5659,Futbolín (Metegol),2013,Argentina,Película
5660,¡Goool! La película,2005,Reino Unido,Película
5661,Mean Machine (Jugar duro),2001,Reino Unido,Película
5662,Un buen partido,2012,Estados Unidos,Película
5663,Rivales,2008,España,Película
5664,Que baje Dios y lo vea,2018,España,Película
5665,Football Factory (Diario de un hooligan),2004,Reino Unido,Película
5666,¡Goool 2! Viviendo el sueño,2007,Reino Unido,Película
5667,Salir pitando,2007,España,Película
5668,Rudo y Cursi,2008,México,Película
5669,Campeones hacia el Mundial: Oliver y Benji (Super Campeones: 2002) (Serie de TV),2001,Japón,Serie de TV
5670,Bella,2006,México,Película
5671,Crackòvia (Serie de TV),2008,España,Serie de TV
5672,El portero,2000,España,Película
5673,Pelotas (Serie de TV),2009,España,Serie de TV
5674,Un gran equipo,2012,Francia,Película
5675,En fuera de juego,2011,España,Película
5676,Un juego de caballeros (Miniserie de TV),2020,Reino Unido,Miniserie de TV
5677,"Matías, juez de línea",1995,España,Película
5678,Oliver y Benji: La gran batalla de Europa (Campeones: Desafío europeo) (TV),1985,Japón,TV
5679,Cosas que hacer antes de los 30,2004,Reino Unido,Película
5680,Diamantes negros,2013,España,Película
5681,¡Gol! (C),2002,España,Cortometraje
5682,El camino de San Diego,2006,Argentina,Película
5683,"Pelé, el nacimiento de una leyenda",2016,Estados Unidos,Película
5684,Supergol (Serie de TV),1986,Japón,Serie de TV
5685,El año que mis padres se fueron de vacaciones,2006,Brasil,Película
5686,Unidos por un sueño,2011,Alemania,Película
5687,The Waterboy (El aguador),1999,Estados Unidos,Película
5688,Me llaman Radio,2003,Estados Unidos,Película
5689,Papá por sorpresa,2007,Estados Unidos,Película
5690,Equipo a la fuerza,2000,Estados Unidos,Película
5691,Invencible,2006,Estados Unidos,Película
5692,Friday Night Lights (Serie de TV),2006,Estados Unidos,Serie de TV
5693,Ella es el partido,2008,Estados Unidos,Película
5694,La vida en juego,2006,Estados Unidos,Película
5695,Plumas de caballo,1932,Estados Unidos,Película
5696,Friday Night Lights,2004,Estados Unidos,Película
5697,Equipo Marshall,2006,Estados Unidos,Película
5698,La revancha de los novatos,1984,Estados Unidos,Película
5699,Decisión final,2014,Estados Unidos,Película
5700,"Rudy, reto a la gloria",1993,Estados Unidos,Película
5701,El rompehuesos,1974,Estados Unidos,Película
5702,Ballers (Serie de TV),2015,Estados Unidos,Serie de TV
5703,Pequeños gigantes,1994,Estados Unidos,Película
5704,Juego de campeones (Varsity Blues),1999,Estados Unidos,Película
5705,El expreso de Elmira,2008,Estados Unidos,Película
5706,Guerra de cheerleaders,2009,Estados Unidos,Película
5707,Blue Mountain State (Serie de TV),2010,Estados Unidos,Serie de TV
5708,Un equipo legendario,2014,Estados Unidos,Película
5709,Pánico en el estadio,1976,Estados Unidos,Película
5710,Air Bud 2: El fichaje de la liga,1998,Estados Unidos,Película
5711,La clave del éxito,1983,Estados Unidos,Película
5712,Last Chance U (Serie de TV),2016,Estados Unidos,Serie de TV
5713,Undefeated (Imbatidos),2011,Estados Unidos,Película
5714,Woodlawn,2015,Estados Unidos,Película
5715,Gigantes hacia la victoria,2006,Estados Unidos,Película
5716,La liga fantástica (Serie de TV),2009,Estados Unidos,Serie de TV
5717,Lobos universitarios,1993,Estados Unidos,Película
5718,El Rey Arturo y los Caballeros de la Justicia (Serie de TV),1992,Estados Unidos,Serie de TV
5719,El estudiante novato,1925,Estados Unidos,Película
5720,Le llamaban... Pegafuerte,1978,Italia,Película
5721,Cuando me enamoro,1988,Estados Unidos,Película
5722,Los futboleros,2007,Estados Unidos,Película
5723,Paterno (TV),2018,Estados Unidos,TV
5724,Un ángel en mi equipo (TV),1997,Estados Unidos,TV
5725,Blue Mountain State: The Rise of Thadland,2016,Estados Unidos,Película
5726,Terapia de choque (Serie de TV),2011,Estados Unidos,Serie de TV
5727,La 4ª compañía,2016,México,Película
5728,All American (Serie de TV),2018,Estados Unidos,Serie de TV
5729,Soy leyenda,2007,Estados Unidos,Película
5730,Mad Max: Furia en la carretera,2015,Australia,Película
5731,Mad Max. Salvajes de autopista,1979,Australia,Película
5732,El planeta de los simios,2001,Estados Unidos,Película
5733,El incidente,2008,Estados Unidos,Película
5734,Terminator Salvation,2009,Estados Unidos,Película
5735,Un lugar tranquilo,2018,Estados Unidos,Película
5736,After Earth,2013,Estados Unidos,Película
5737,Rompenieves (Snowpiercer),2013,Corea del Sur,Película
5738,La guerra del planeta de los simios,2017,Estados Unidos,Película
5739,Mad Max 2. El guerrero de la carretera,1981,Australia,Película
5740,Número 9,2009,Estados Unidos,Película
5741,Nausicaä del Valle del Viento,1984,Japón,Película
5742,A ciegas,2018,Estados Unidos,Película
5743,El corredor del laberinto: Las pruebas,2015,Estados Unidos,Película
5744,Mad Max 3. Más allá de la cúpula del trueno,1985,Australia,Película
5745,Resident Evil 4: Ultratumba,2010,Canadá,Película
5746,Ataque a los Titanes (Serie de TV),2013,Japón,Serie de TV
5747,Los últimos días,2013,España,Película
5748,Dark Angel (Serie de TV),2000,Estados Unidos,Serie de TV
5749,Black Mirror: Cabeza de metal (TV),2017,Reino Unido,TV
5750,Mensajero del futuro (The Postman),1997,Estados Unidos,Película
5751,2013: Rescate en L.A.,1996,Estados Unidos,Película
5752,El sicario de Dios,2011,Estados Unidos,Película
5753,Infectados (Carriers),2009,Estados Unidos,Película
5754,Resident Evil: Venganza,2012,Canadá,Película
5755,Fear the Walking Dead (Serie de TV),2015,Estados Unidos,Serie de TV
5756,I Am Mother,2019,Australia,Película
5757,El tiempo en sus manos,1960,Estados Unidos,Película
5758,Campo de batalla: La Tierra,2000,Estados Unidos,Película
5759,Falling Skies (Serie de TV),2011,Estados Unidos,Serie de TV
5760,Cielo de medianoche,2020,Estados Unidos,Película
5761,Tom y Jerry (Serie de TV),1940,Estados Unidos,Serie de TV
5762,Soul,2020,Estados Unidos,Película
5763,Garfield y sus amigos (Serie de TV),1988,Estados Unidos,Serie de TV
5764,Garfield: La película,2004,Estados Unidos,Película
5765,Isidoro (Serie de TV),1984,Estados Unidos,Serie de TV
5766,Don Gato (Serie de TV),1961,Estados Unidos,Serie de TV
5767,Fievel y el Nuevo Mundo,1986,Estados Unidos,Película
5768,Como perros y gatos,2001,Estados Unidos,Película
5769,"A los gatos, ni tocarlos: Un asesino en internet (Miniserie de TV)",2019,Reino Unido,Miniserie de TV
5770,Haru en el reino de los gatos,2002,Japón,Película
5771,Garfield 2,2006,Reino Unido,Película
5772,Los gatos samurái (Serie de TV),1991,Japón,Serie de TV
5773,Oliver y su pandilla,1988,Estados Unidos,Película
5774,"Pixie, Dixie y el gato Jinks (Serie de TV)",1958,Estados Unidos,Serie de TV
5775,Miamor perdido,2018,España,Película
5776,Félix el gato (Serie de TV),1958,Estados Unidos,Serie de TV
5777,Tom y Jerry: Un concierto gatuno (C),1947,Estados Unidos,Cortometraje
5778,Cats,2019,Reino Unido,Película
5779,Kitbull (C),2019,Estados Unidos,Cortometraje
5780,Un gato callejero llamado Bob,2016,Reino Unido,Película
5781,Animatrix: Más allá (C),2003,Estados Unidos,Cortometraje
5782,Arthur (Serie de TV),1996,Canadá,Serie de TV
5783,Los tres huerfanitos (C),1935,Estados Unidos,Cortometraje
5784,Speedy González (C),1955,Estados Unidos,Cortometraje
5785,Los ojos del gato,1985,Estados Unidos,Película
5786,"De vuelta a casa, un viaje increíble",1993,Estados Unidos,Película
5787,Tom y Jerry: Ratón Problema (C),1944,Estados Unidos,Cortometraje
5788,Un gato en París,2010,Francia,Película
5789,Kedi (Gatos de Estambul),2016,Turquía,Película
5790,"Siete vidas, este gato es un peligro",2016,Francia,Película
5791,El gato con botas: Los tres diablos (C),2012,Estados Unidos,Cortometraje
5792,El gato caliente (Fritz the Cat),1972,Estados Unidos,Película
5793,El gato negro (Kuroneko),1968,Japón,Película
5794,Tom y Jerry: Los dos mosqueteros (C),1951,Estados Unidos,Cortometraje
5795,El show de Garfield (Serie de TV),2008,Francia,Serie de TV
5796,Tom y Jerry: La película,1992,Estados Unidos,Película
5797,"Tom y Jerry: ¡Silencio, por favor! (C)",1945,Estados Unidos,Cortometraje
5798,Mickey Mouse: Salvamento gatuno (C),1941,Estados Unidos,Cortometraje
5799,Ella y su gato (She and Her Cat) (C),1999,Japón,Cortometraje
5800,Tom y Jerry: El pequeño huérfano (C),1948,Estados Unidos,Cortometraje
5801,Como perros y gatos: La revancha de Kitty Galore,2010,Estados Unidos,Película
5802,La tumba de Ligeia,1964,Reino Unido,Película
5803,Los pequeños Tom y Jerry (Serie de TV),1990,Estados Unidos,Serie de TV
5804,Amor de gata,2020,Japón,Película
5805,Tom y Jerry: Johann Mouse (C),1952,Estados Unidos,Cortometraje
5806,Avril y el mundo alterado,2015,Francia,Película
5807,Tom y Jerry: Una gran batalla (C),1943,Estados Unidos,Cortometraje
5808,Rojo oscuro,1975,Italia,Película
5809,Berberian Sound Studio,2012,Reino Unido,Película
5810,El pájaro de las plumas de cristal,1970,Italia,Película
5811,Imago Mortis,2009,Italia,Película
5812,Tenebre,1982,Italia,Película
5813,Giallo,2009,Estados Unidos,Película
5814,Amer,2009,Bélgica,Película
5815,Mil gritos tiene la noche,1982,España,Película
5816,Terror en la ópera,1987,Italia,Película
5817,Bahía de Sangre,1971,Italia,Película
5818,Cuatro moscas sobre terciopelo gris,1971,Italia,Película
5819,El descuartizador de Nueva York,1982,Italia,Película
5820,Seis mujeres para el asesino,1964,Italia,Película
5821,Aquarius,1987,Italia,Película
5822,Trauma,1993,Estados Unidos,Película
5823,Insomnio,2001,Italia,Película
5824,Angustia de silencio,1972,Italia,Película
5825,La muchacha que sabía demasiado,1962,Italia,Película
5826,El arte de matar,1996,Italia,Película
5827,Torso: Violencia carnal,1973,Italia,Película
5828,El jugador,2004,Italia,Película
5829,El extraño color de las lágrimas de tu cuerpo,2013,Bélgica,Película
5830,Siete notas en negro,1977,Italia,Película
5831,Una lagartija con piel de mujer,1971,Italia,Película
5832,La casa de las ventanas que ríen,1976,Italia,Película
5833,Shock (Suspense),1977,Italia,Película
5834,Un hacha para la luna de miel,1969,Italia,Película
5835,Huellas de pisadas en la luna,1975,Italia,Película
5836,Todos los colores de la oscuridad,1972,Italia,Película
5837,¿Qué habéis hecho con Solange?,1972,Italia,Película
5838,Una historia perversa,1969,Italia,Película
5839,La cola del escorpión,1971,Italia,Película
5840,Violación en el último tren de la noche,1975,Italia,Película
5841,La mujer del lago,1965,Italia,Película
5842,Cinco muñecas para la luna de agosto,1969,Italia,Película
5843,La perversa señora Ward,1971,Italia,Película
5844,La tarántula del vientre negro,1971,Italia,Película
5845,Il profumo della signora in nero,1974,Italia,Película
5846,Los ojos azules de la muñeca rota,1973,España,Película
5847,Vicios prohibidos,1972,Italia,Película
5848,Danza mortal,1984,Italia,Película
5849,¿Quién la ha visto morir?,1972,Italia,Película
5850,Ojos de cristal,2004,Italia,Película
5851,Siete orquídeas manchadas de rojo,1972,Italia,Película
5852,Disturbios en el cementerio (TV),1987,Italia,TV
5853,La dama roja mata siete veces,1972,Italia,Película
5854,La corta noche de las muñecas de cristal,1971,Italia,Película
5855,Sumario sangriento de la pequeña Estefania,1972,Italia,Película
5856,El guerrero pacífico,2006,Estados Unidos,Película
5857,Stick It ¡Que les den!,2006,Estados Unidos,Película
5858,Full Out,2015,Estados Unidos,Película
5859,Ahora o nunca (Serie de TV),2009,Estados Unidos,Serie de TV
5860,Goofy gimnasta (C),1949,Estados Unidos,Cortometraje
5861,Over the Limit,2017,Polonia,Película
5862,La Pantera Rosa: Gimnasio rosa (C),1967,Estados Unidos,Cortometraje
5863,Dr. Nassar: el caso del equipo de Gimnasia de EE. UU.,2019,Estados Unidos,Película
5864,Nadia Comaneci: La gimnasta y el dictador (TV),2016,Rumanía,TV
5865,Días rebeldes,1986,Estados Unidos,Película
5866,The Chemical Brothers: Elektrobank (Vídeo musical),1997,Reino Unido,Vídeo musical
5867,El entrenador personal (TV),2018,Estados Unidos,TV
5868,Piruetas (Serie de TV),1986,Japón,Serie de TV
5869,Komisches Reck (C),1895,Alemania,Cortometraje
5870,Full Out 2: You Got This!,2020,Estados Unidos,Película
5871,Nadia (TV) (TV),1984,Estados Unidos,TV
5872,Las chicas del oro,2016,Australia,Película
5873,The Gabby Douglas Story (TV),2014,Estados Unidos,TV
5874,How Heavy Are the Dumbbells You Lift? (Serie de TV),2019,Japón,Serie de TV
5875,Una segunda oportunidad,2011,Australia,Película
5876,Tin Cup,1996,Estados Unidos,Película
5877,Happy Gilmore (Terminagolf),1996,Estados Unidos,Película
5878,El club de los chalados,1980,Estados Unidos,Película
5879,Juego de honor,2005,Estados Unidos,Película
5880,Hoyo en uno,2010,Estados Unidos,Película
5881,"Bobby Jones, la carrera de un genio",2004,Estados Unidos,Película
5882,Seve,2014,España,Película
5883,Tom y Jerry: Golf para dos (C),1945,Estados Unidos,Cortometraje
5884,Tiger,2021,Estados Unidos,Película
5885,¡Qué par de golfantes!,1953,Estados Unidos,Película
5886,Goofy: Cómo jugar al golf (C),1944,Estados Unidos,Cortometraje
5887,Pato Donald: Donald juega al golf (C),1938,Estados Unidos,Cortometraje
5888,Mickey Mouse: Un caddie canino (C),1941,Estados Unidos,Cortometraje
5889,Seven Days in Utopia,2011,Estados Unidos,Película
5890,8 Bit Cinema: Happy Gilmore (C),2014,Estados Unidos,Cortometraje
5891,Play-off (C),2017,Francia,Cortometraje
5892,El club de los chalados II,1988,Estados Unidos,Película
5893,Story of Sorrow and Sadness,1977,Japón,Película
5894,The Short Game,2013,Estados Unidos,Película
5895,Tommy's Honour,2016,Estados Unidos,Película
5896,Should Married Men Go Home? (C),1928,Estados Unidos,Cortometraje
5897,Amanecer de los muertos,2004,Estados Unidos,Película
5898,28 semanas después,2007,Reino Unido,Película
5899,Hostel,2005,Estados Unidos,Película
5900,John Rambo (Rambo IV),2008,Estados Unidos,Película
5901,Saw IV,2007,Estados Unidos,Película
5902,Las colinas tienen ojos,2006,Estados Unidos,Película
5903,The Human Centipede (First Sequence),2009,Países Bajos (Holanda),Película
5904,Saw VI,2009,Estados Unidos,Película
5905,Encontré al diablo,2010,Corea del Sur,Película
5906,La matanza de Texas,2003,Estados Unidos,Película
5907,Dead Set: Muerte en directo (Miniserie de TV),2008,Reino Unido,Miniserie de TV
5908,Bone Tomahawk,2015,Estados Unidos,Película
5909,Eden Lake,2008,Reino Unido,Película
5910,Hostel 2,2007,Estados Unidos,Película
5911,Videodrome,1983,Canadá,Película
5912,Crudo,2016,Francia,Película
5913,Hellraiser,1987,Reino Unido,Película
5914,Cube Zero,2004,Canadá,Película
5915,Saw VII 3D,2010,Estados Unidos,Película
5916,Tucker & Dale contra el mal,2010,Canadá,Película
5917,The Crazies,2010,Estados Unidos,Película
5918,La tierra de los muertos vivientes,2005,Estados Unidos,Película
5919,Alta tensión,2003,Francia,Película
5920,La última casa a la izquierda,2009,Estados Unidos,Película
5921,Martyrs (Mártires),2008,Francia,Película
5922,La casa de los 1000 cadáveres,2003,Estados Unidos,Película
5923,Audition,1999,Japón,Película
5924,El cartero siempre llama dos veces,1981,Estados Unidos,Película
5925,Sin ley (Lawless),2012,Estados Unidos,Película
5926,Luna de papel,1973,Estados Unidos,Película
5927,Mildred Pierce (Miniserie de TV),2011,Estados Unidos,Miniserie de TV
5928,De ratones y hombres,1992,Estados Unidos,Película
5929,Serena,2014,Estados Unidos,Película
5930,El aventurero de medianoche,1982,Estados Unidos,Película
5931,En un lugar del corazón,1984,Estados Unidos,Película
5932,El emperador del norte,1973,Estados Unidos,Película
5933,El luchador,1975,Estados Unidos,Película
5934,Propiedad condenada,1966,Estados Unidos,Película
5935,El tren de Bertha,1972,Estados Unidos,Película
5936,Tallo de hierro,1987,Estados Unidos,Película
5937,El pan nuestro de cada día,1934,Estados Unidos,Película
5938,Liam,2000,Reino Unido,Película
5939,La gata negra,1962,Estados Unidos,Película
5940,La banda de los Grissom,1971,Estados Unidos,Película
5941,El rey de la colina,1993,Estados Unidos,Película
5942,The Saddest Music in the World,2003,Canadá,Película
5943,Esta tierra es mi tierra,1976,Estados Unidos,Película
5944,Vampiresas 1933,1933,Estados Unidos,Película
5945,El gran McGinty,1940,Estados Unidos,Película
5946,4 Gángsters de Chicago,1964,Estados Unidos,Película
5947,La última ronda (Cuentos asombrosos) (TV),1986,Estados Unidos,TV
5948,Fueros humanos,1933,Estados Unidos,Película
5949,Gloria y hambre,1933,Estados Unidos,Película
5950,Two Bits,1995,Estados Unidos,Película
5951,Un albergue en Tokio,1935,Japón,Película
5952,La fuerza bruta (De ratones y hombres),1939,Estados Unidos,Película
5953,Bonnie and Clyde (Miniserie de TV),2013,Estados Unidos,Miniserie de TV
5954,El imperio del sol,1987,Estados Unidos,Película
5955,Las flores de la guerra,2011,China,Película
5956,Ciudad de vida y muerte,2009,China,Película
5957,The Grandmaster,2013,Hong Kong,Película
5958,Los niños de Huang Shi,2008,China,Película
5959,La condición humana I: No hay amor más grande,1959,Japón,Película
5960,Los hombres detrás del sol,1988,China,Película
5961,El albergue de la sexta felicidad,1958,Estados Unidos,Película
5962,El último gangster,2012,Hong Kong,Película
5963,Red Angel,1966,Japón,Película
5964,Estirpe de dragón,1944,Estados Unidos,Película
5965,Los demonios en mi puerta,2000,China,Película
5966,John Rabe,2009,Alemania,Película
5967,Nanking,2007,Estados Unidos,Película
5968,Back to 1942,2012,China,Película
5969,Caterpillar,2010,Japón,Película
5970,Los tigres del tren,2016,China,Película
5971,Purple Butterfly,2003,China,Película
5972,The 5 Warriors (Los cinco guerreros),1987,Hong Kong,Película
5973,Los hombres detrás del sol 2: El laboratorio del diablo,1992,Hong Kong,Película
5974,La princesa errante,1960,Japón,Película
5975,The Message,2009,China,Película
5976,Eagle Shadow Fist,1973,Hong Kong,Película
5977,La gran carretera,1934,China,Película
5978,Black Sun: The Nanking Massacre,1995,Hong Kong,Película
5979,Se lo llevaron: Recuerdos de una niña de Camboya,2017,Camboya,Película
5980,La gente del arrozal,1994,Camboya,Película
5981,El tiempo de las confesiones,2014,Francia,Película
5982,Una noche después de la guerra,1998,Camboya,Película
5983,Exil (AKA Exile),2016,Francia,Película
5984,Enemies of the People,2009,Camboya,Película
5985,Voces inocentes,2004,México,Película
5986,"Romero, el santo del pueblo",1989,Estados Unidos,Película
5987,Uno: La historia de un gol,2010,El Salvador,Película
5988,La vaquilla,1985,España,Película
5989,Tierra y libertad,1995,Reino Unido,Película
5990,Pájaros de papel,2010,España,Película
5991,"¡Ay, Carmela!",1990,España,Película
5992,Soldados de Salamina,2003,España,Película
5993,Las bicicletas son para el verano,1984,España,Película
5994,El viaje de Carol,2002,España,Película
5995,El lápiz del carpintero,2003,España,Película
5996,Amar en tiempos revueltos (Serie de TV),2005,España,Serie de TV
5997,Encontrarás dragones,2011,Estados Unidos,Película
5998,La hora de los valientes,1998,España,Película
5999,Por quién doblan las campanas,1943,Estados Unidos,Película
6000,Incierta gloria,2017,España,Película
6001,La mula,2013,España,Película
6002,La buena nueva,2008,España,Película
6003,La prima Angélica,1973,España,Película
6004,Gernika,2016,España,Película
6005,Las nieves del Kilimanjaro,1952,Estados Unidos,Película
6006,Ispansi (¡Españoles!),2011,España,Película
6007,Raza (AKA El espíritu de una raza),1941,España,Película
6008,Canciones para después de una guerra,1971,España,Película
6009,La mujer del anarquista,2008,España,Película
6010,Dragon Rapide,1986,España,Película
6011,El mar,2000,España,Película
6012,Vida en sombras,1948,España,Película
6013,La luz prodigiosa,2003,España,Película
6014,¡Biba la banda!,1987,España,Película
6015,La plaza del Diamante,1982,España,Película
6016,El bosque,2012,España,Película
6017,Las largas vacaciones del 36,1976,España,Película
6018,Rojo y negro,1942,España,Película
6019,España en dos trincheras. La Guerra Civil en color (Miniserie de TV),2016,España,Miniserie de TV
6020,La higuera de los bastardos,2017,España,Película
6021,Sierra de Teruel,1939,Francia,Película
6022,Los días del pasado,1977,España,Película
6023,Los niños de Rusia,2001,España,Película
6024,Plaza de España (Serie de TV),2011,España,Serie de TV
6025,Luna de lobos,1987,España,Película
6026,La guerrilla de la memoria,2002,España,Película
6027,Un Dios prohibido,2013,España,Película
6028,Caudillo,1977,España,Película
6029,Leones por corderos,2007,Estados Unidos,Película
6030,Brothers (Hermanos),2009,Estados Unidos,Película
6031,Máquina de guerra,2017,Estados Unidos,Película
6032,El pan de la guerra (The Breadwinner),2017,Irlanda,Película
6033,"Love, Death & Robots: Metamorfosis (Ep) (C)",2019,Estados Unidos,Cortometraje
6034,Zona hostil,2017,España,Película
6035,Fuerzas especiales,2011,Francia,Película
6036,Hermanos (Brødre),2004,Dinamarca,Película
6037,Restrepo,2010,Estados Unidos,Película
6038,A War (Una guerra),2015,Dinamarca,Película
6039,The Outpost,2020,Estados Unidos,Película
6040,Reporteras en guerra,2016,Estados Unidos,Película
6041,Escuadrón de la muerte,2019,Estados Unidos,Película
6042,Kajaki,2014,Reino Unido,Película
6043,Guerras sucias,2013,Estados Unidos,Película
6044,Taxi al lado oscuro,2007,Estados Unidos,Película
6045,Caminando sobre las bombas (TV),2012,España,TV
6046,Fort Bliss,2014,Estados Unidos,Película
6047,La ley de la calle,2019,Estados Unidos,Película
6048,La escala (The Stopover),2016,Francia,Película
6049,Armadillo,2010,Dinamarca,Película
6050,The Objective,2008,Estados Unidos,Película
6051,Rescate en Afganistán,2016,Estados Unidos,Película
6052,Ida y vuelta al infierno,2011,Reino Unido,Película
6053,Korengal,2014,Estados Unidos,Película
6054,Man Down,2015,Estados Unidos,Película
6055,Hospital de campaña (Miniserie de TV),2011,Canadá,Miniserie de TV
6056,The Kill Team,2013,Estados Unidos,Película
6057,The Land of the Enlightened,2016,Bélgica,Película
6058,There Will Be No More Night,2020,Francia,Película
6059,National Bird,2016,Estados Unidos,Película
6060,Khakestar-o-khak,2004,Afganistán,Película
6061,The Hornet's Nest,2014,Estados Unidos,Película
6062,Wartorn: 1861-2010 (TV) (TV),2010,Estados Unidos,TV
6063,Libertad (TV),2004,Canadá,TV
6064,The Patrol,2013,Reino Unido,Película
6065,Rambo III,1988,Estados Unidos,Película
6066,007: Alta tensión,1987,Reino Unido,Película
6067,La bestia de la guerra,1988,Estados Unidos,Película
6068,Cargo 200,2007,Rusia,Película
6069,La Novena Compañía,2005,Rusia,Película
6070,Última misión en Afganistán,2019,Rusia,Película
6071,The Magic Mountain,2015,Rumanía,Película
6072,En tierra de nadie,2001,Bosnia y Herzegovina,Película
6073,Tras la línea enemiga,2001,Estados Unidos,Película
6074,La vida es un milagro,2004,Serbia y Montenegro,Película
6075,La sombra del cazador,2007,Estados Unidos,Película
6076,Territorio comanche,1996,España,Película
6077,Volver a nacer,2012,Italia,Película
6078,Grbavica (El secreto de Esma),2006,Bosnia y Herzegovina,Película
6079,Savior,1998,Estados Unidos,Película
6080,En tierra de sangre y miel,2011,Estados Unidos,Película
6081,Cirkus Columbia,2010,Bosnia y Herzegovina,Película
6082,Bienvenido a Sarajevo (Welcome to Sarajevo),1997,Reino Unido,Película
6083,Círculos,2013,Serbia,Película
6084,10 Minutes (C),2002,Bosnia y Herzegovina,Cortometraje
6085,El círculo perfecto,1997,Bosnia y Herzegovina,Película
6086,For Ever Mozart,1996,Francia,Película
6087,"Pretty Village, Pretty Flame",1996,Yugoslavia,Película
6088,For Those Who Can Tell No Tales,2013,Bosnia y Herzegovina,Película
6089,Disparo al corazón (TV),1998,Canadá,TV
6090,As If I Am Not There,2010,Irlanda,Película
6091,Halima's Path,2012,Bosnia y Herzegovina,Película
6092,El enemigo,2011,Serbia,Película
6093,The Chicken (C),2014,Croacia,Cortometraje
6094,August 8,2012,Rusia,Película
6095,Go West,2005,Bosnia y Herzegovina,Película
6096,(A)Torsion (C),2002,Eslovenia,Cortometraje
6097,M.A.S.H.,1970,Estados Unidos,Película
6098,M.A.S.H. (Serie de TV),1972,Estados Unidos,Serie de TV
6099,Lazos de guerra,2004,Corea del Sur,Película
6100,El mensajero del miedo,1962,Estados Unidos,Película
6101,La colina de los diablos de acero,1957,Estados Unidos,Película
6102,Sayonara,1957,Estados Unidos,Película
6103,La colina del adiós,1955,Estados Unidos,Película
6104,"MacArthur, el general rebelde",1977,Estados Unidos,Película
6105,Operación Chromite,2016,Corea del Sur,Película
6106,Los puentes de Toko-Ri,1954,Estados Unidos,Película
6107,Welcome to Dongmakgol,2005,Corea del Sur,Película
6108,Casco de acero,1951,Estados Unidos,Película
6109,Oda a mi padre,2014,Corea del Sur,Película
6110,71: Into the Fire,2010,Corea del Sur,Película
6111,A bayoneta calada,1951,Estados Unidos,Película
6112,Reina y patria,2014,Reino Unido,Película
6113,La cima de los héroes,1959,Estados Unidos,Película
6114,The Front Line,2011,Corea del Sur,Película
6115,Himno de batalla,1957,Estados Unidos,Película
6116,Ayla: La hija de la guerra,2017,Turquía,Película
6117,Birthday Boy (C),2004,Australia,Cortometraje
6118,Silencio de muerte,1963,Estados Unidos,Película
6119,Labios sellados,1957,Estados Unidos,Película
6120,Hombres de infantería,1953,Estados Unidos,Película
6121,"Corea, hora cero",1952,Estados Unidos,Película
6122,Traidor a su patria,1956,Estados Unidos,Película
6123,Campo de batalla,1953,Estados Unidos,Película
6124,Entre dos pasiones,1958,Estados Unidos,Película
6125,The Battle of Jangsari,2019,Corea del Sur,Película
6126,Soldado o cazador (El que mató por placer),1962,Estados Unidos,Película
6127,Infierno en Corea,1956,Reino Unido,Película
6128,Paralelo 38,1952,Estados Unidos,Película
6129,Corea: La guerra inacabada (Miniserie de TV),2003,Canadá,Miniserie de TV
6130,Kimjongilia,2009,Corea del Sur,Película
6131,Sin respiro,1997,Estados Unidos,Película
6132,Swing Kids,2018,Corea del Sur,Película
6133,El paso de la muerte,1960,Estados Unidos,Película
6134,El invierno de las anjanas,1999,España,Película
6135,Lucía,1968,Cuba,Película
6136,Visite sous-marine du Maine (C),1898,Francia,Cortometraje
6137,Mambí,1998,España,Película
6138,Cuba,2002,España,Película
6139,John Adams (Miniserie de TV),2008,Estados Unidos,Miniserie de TV
6140,Corazones indomables,1939,Estados Unidos,Película
