,id_peli,titulo,año,pais,tipo,puntuacion,votos,decada
161,1536,El capitán Blood,1935,Estados Unidos,Película,7.32,8114,1930
162,1660,Sombrero de copa,1935,Estados Unidos,Película,7.41,6955,1930
163,3101,Tres lanceros bengalíes,1935,Estados Unidos,Película,7.05,1373,1930
164,3345,Sucedió una vez,1935,Estados Unidos,Película,6.82,193,1930
165,5478,La kermesse heroica,1935,Francia,Película,7.65,1825,1930
166,5951,Un albergue en Tokio,1935,Japón,Película,7.18,277,1930
167,6862,El delator,1935,Estados Unidos,Película,7.55,3430,1930
168,7059,La ciudad sin ley,1935,Estados Unidos,Película,6.79,575,1930
169,8189,Una noche en la ópera,1935,Estados Unidos,Película,8.29,45429,1930
170,9000,El triunfo de la voluntad,1935,Alemania,Película,7.48,4991,1930
171,9150,Toni,1935,Francia,Película,7.45,842,1930
172,9154,La bandera,1935,Francia,Película,6.55,361,1930
173,9168,Pensión Mimosas,1935,Francia,Película,6.78,41,1930
174,9229,Historia de dos ciudades,1935,Estados Unidos,Película,7.07,624,1930
175,9894,Las cruzadas,1935,Estados Unidos,Película,6.74,298,1930
176,10060,La tragedia de la Bounty,1935,Estados Unidos,Película,7.55,3587,1930
177,11253,Los últimos días de Pompeya,1935,Estados Unidos,Película,6.15,594,1930
178,546,El último mohicano,1936,Estados Unidos,Película,6.23,133,1930
179,1724,Nacida para la danza,1936,Estados Unidos,Película,6.25,106,1930
180,2742,Tiempos modernos,1936,Estados Unidos,Película,8.56,61666,1930
181,3098,La carga de la Brigada Ligera,1936,Estados Unidos,Película,7.01,1695,1930
182,3318,Al servicio de las damas,1936,Estados Unidos,Película,7.69,3368,1930
183,3340,Una mujer difamada,1936,Estados Unidos,Película,7.01,459,1930
184,3349,Los pecados de Teodora,1936,Estados Unidos,Película,6.12,73,1930
185,5567,María de la O.,1936,España,Película,5.64,102,1930
186,6282,Prisionero del odio,1936,Estados Unidos,Película,7.02,685,1930
187,6707,El agente secreto,1936,Reino Unido,Película,6.37,1939,1930
188,6877,El arado y las estrellas,1936,Estados Unidos,Película,6.25,154,1930
189,7523,Una partida de campo,1936,Francia,Película,7.82,3218,1930
190,8107,"Ella, él y Asta",1936,Estados Unidos,Película,6.65,525,1930
191,8197,San Francisco,1936,Estados Unidos,Película,6.89,1292,1930
192,8668,Al borde del mar azul,1936,Unión Soviética (URSS),Película,7.3,187,1930
193,9033,Tell Your Children (Reefer Madness),1936,Estados Unidos,Película,4.31,233,1930
194,9146,El crimen del Sr. Lange,1936,Francia,Película,7.37,945,1930
195,9148,Los bajos fondos,1936,Francia,Película,7.41,855,1930
196,9166,La belle équipe,1936,Francia,Película,7.11,56,1930
197,9169,Jenny,1936,Francia,Película,6.35,34,1930
198,9267,Vámonos con Pancho Villa!,1936,México,Película,7.19,226,1930
199,10036,María Estuardo,1936,Estados Unidos,Película,6.29,1083,1930
200,1540,Capitanes intrépidos,1937,Estados Unidos,Película,8.14,7322,1930
201,2196,Blancanieves y los siete enanitos,1937,Estados Unidos,Película,6.8,82526,1930
202,2282,Un día en las carreras,1937,Estados Unidos,Película,7.68,9919,1930
203,3324,La pícara puritana,1937,Estados Unidos,Película,7.37,2151,1930
204,3330,La reina de Nueva York,1937,Estados Unidos,Película,6.63,1266,1930
205,3350,Amor y periodismo,1937,Estados Unidos,Película,6.61,67,1930
206,3355,Ángel,1937,Estados Unidos,Película,7.69,1794,1930
207,3361,Una chica afortunada,1937,Estados Unidos,Película,7.32,646,1930
208,4721,La gran ilusión,1937,Francia,Película,8.0,7820,1930
209,5098,Almas en el mar,1937,Estados Unidos,Película,6.55,387,1930
210,6294,El ídolo de Nueva York,1937,Estados Unidos,Película,5.86,155,1930
211,7385,El cuento del zorro,1937,Francia,Película,7.19,368,1930
212,8684,The Edge of the World,1937,Reino Unido,Película,6.97,116,1930
213,9149,Pépé le Moko,1937,Francia,Película,7.09,854,1930
214,9160,Cara de amor,1937,Francia,Película,7.43,127,1930
215,9164,Carnet de baile,1937,Francia,Película,7.12,73,1930
216,9251,El retorno de la Pimpinela Escarlata,1937,Reino Unido,Película,5.12,43,1930
217,9268,¡Así es mi tierra!,1937,México,Película,4.94,206,1930
218,9309,El prado de Bezhin,1937,Unión Soviética (URSS),Película,6.52,281,1930
219,9313,La condesa Alexandra,1937,Reino Unido,Película,6.09,143,1930
220,9316,Lenin en octubre,1937,Unión Soviética (URSS),Película,6.71,113,1930
221,1374,Olimpiada,1938,Alemania,Película,7.83,1996,1930
222,2334,Robin de los bosques,1938,Estados Unidos,Película,7.15,27968,1930
223,3305,La fiera de mi niña,1938,Estados Unidos,Película,8.01,31159,1930
224,3312,Vive como quieras,1938,Estados Unidos,Película,8.1,7718,1930
225,3319,La octava mujer de Barba Azul,1938,Estados Unidos,Película,7.4,3139,1930
226,3320,Vivir para gozar,1938,Estados Unidos,Película,7.54,3102,1930
227,3342,El divorcio de la señorita X,1938,Reino Unido,Película,6.26,245,1930
228,6269,Jezabel,1938,Estados Unidos,Película,7.71,4248,1930
229,6513,Kentucky,1938,Estados Unidos,Película,5.61,31,1930
230,9144,La bestia humana,1938,Francia,Película,7.42,1990,1930
231,9145,El muelle de las brumas,1938,Francia,Película,7.46,1472,1930
232,9153,Hotel del Norte,1938,Francia,Película,7.08,470,1930
233,9228,La Marsellesa,1938,Francia,Película,7.12,713,1930
234,9238,Maria Antonieta,1938,Estados Unidos,Película,6.51,253,1930
235,9910,Alexander Nevsky,1938,Unión Soviética (URSS),Película,7.65,2270,1930
236,9925,Las aventuras de Marco Polo,1938,Estados Unidos,Película,5.77,407,1930
237,11035,Alarma en el expreso,1938,Reino Unido,Película,7.36,6368,1930
238,1622,Sólo los ángeles tienen alas,1939,Estados Unidos,Película,7.73,4558,1930
239,2448,La regla del juego,1939,Francia,Película,7.97,7391,1930
240,2611,Lo que el viento se llevó,1939,Estados Unidos,Película,7.87,57145,1930
241,2692,El mago de Oz,1939,Estados Unidos,Película,7.43,54068,1930
242,2836,Una tarde en el circo,1939,Estados Unidos,Película,7.13,4247,1930
243,3093,Las cuatro plumas,1939,Reino Unido,Película,7.05,2629,1930
244,3096,Gunga Din,1939,Estados Unidos,Película,6.97,1813,1930
245,3108,La jungla en armas,1939,Estados Unidos,Película,6.79,853,1930
246,3308,Ninotchka,1939,Estados Unidos,Película,7.97,14585,1930
