id_peli,titulo,año,pais,tipo,puntuacion,votos
7033,Maverick,1994,Estados Unidos,Película,6.08,17923
7034,Las Vegas (Serie de TV),2003,Estados Unidos,Serie de TV,6.02,11021
7035,Los Pelayos,2012,España,Película,5.05,9222
7036,El jugador,2014,Estados Unidos,Película,5.38,6543
7037,Apostando al límite,2005,Estados Unidos,Película,5.38,5854
7038,Casa de juegos,1987,Estados Unidos,Película,7.02,5846
7039,El rey del juego,1965,Estados Unidos,Película,7.24,5220
7040,Los bingueros,1979,España,Película,4.87,5164
7041,¡Vivir!,1994,China,Película,7.88,4812
7042,The Cooler,2003,Estados Unidos,Película,6.47,3993
7043,Sydney,1996,Estados Unidos,Película,6.57,3943
7044,Lucky You,2007,Estados Unidos,Película,5.37,3764
7045,Habana,1990,Estados Unidos,Película,5.71,2557
7046,Shade: Juego de asesinos,2003,Estados Unidos,Película,5.73,2493
7047,La última apuesta,2015,Estados Unidos,Película,5.33,1527
7048,El póker de la muerte,1968,Estados Unidos,Película,6.62,1501
7049,Par-Impar,1978,Italia,Película,5.64,1386
7050,Croupier,1998,Reino Unido,Película,6.2,1253
7051,La apuesta perfecta (Even Money),2007,Estados Unidos,Película,5.04,1167
7052,El destino también juega,1966,Estados Unidos,Película,6.8,1127
7053,Casa Casino,2017,Estados Unidos,Película,4.62,985
7054,Misfits: Vegas Baby! (C),2011,Reino Unido,Cortometraje,6.1,964
7055,Partie d'écarté (C),1896,Francia,Cortometraje,5.1,934
7056,Juego de Luna,2001,España,Película,5.36,882
7057,La suerte en tus manos,2012,Argentina,Película,4.77,707
7058,Kakegurui (Miniserie de TV),2017,Japón,Miniserie de TV,6.22,578
7059,La ciudad sin ley,1935,Estados Unidos,Película,6.79,575
7060,Kaiji (Serie de TV),2007,Japón,Serie de TV,7.69,568
7061,El imperio del terror,1955,Estados Unidos,Película,7.1,554
7062,Deal,2008,Estados Unidos,Película,4.8,523
7063,Los felinos,1964,Francia,Película,6.51,448
7064,La bahía de los ángeles,1963,Francia,Película,6.94,431
7065,Le tripot clandestin (C),1905,Francia,Cortometraje,5.57,384
7066,Mr. Lucky,1943,Estados Unidos,Película,6.5,373
7067,Alfred Hitchcock presenta: El hombre del sur (TV),1960,Estados Unidos,TV,7.65,364
7068,El jugador,1974,Estados Unidos,Película,6.52,349
7069,Zafarrancho en el casino,1961,Estados Unidos,Película,5.95,343
7070,California Split,1974,Estados Unidos,Película,6.39,312
7071,Elegidos para el triunfo,1993,Estados Unidos,Película,5.67,5216
7072,Patinazo a la gloria,2007,Estados Unidos,Película,5.05,3524
7073,Apartamento para tres,1966,Estados Unidos,Película,6.42,1428
7074,Pasión por el triunfo,1992,Estados Unidos,Película,5.68,988
7075,El farsante,2005,Estados Unidos,Película,4.88,903
7076,Todos a una,2018,Francia,Película,5.42,403
7077,Pentathlon,1994,Estados Unidos,Película,3.42,385
7078,Pasión por el triunfo 2: medalla olímpica,2006,Estados Unidos,Película,5.15,336
7079,Goofy: El campeón olímpico (C),1942,Estados Unidos,Cortometraje,6.33,335
7080,Hijos de la gloria,2006,Hungría,Película,6.13,284
7081,La extraordinaria historia de los Juegos Paralímpicos,2020,Reino Unido,Película,7.9,245
7082,As de ases,1982,Francia,Película,5.44,193
7083,La tropa de Cobi (Serie de TV),1992,España,Serie de TV,3.87,189
7084,El misterio Koumiko,1965,Francia,Película,7.02,168
7085,Las olimpiadas de Tokio,1965,Japón,Película,7.0,152
7086,El complot de los anillos,1987,España,Película,3.88,126
7087,Corrupción,2019,Reino Unido,Película,4.64,125
7088,Pasión por el triunfo 4 (TV),2010,Estados Unidos,TV,4.78,125
7089,El laberinto griego,1993,España,Película,3.98,123
7090,Los juegos de Hitler: Berlín 1936 (TV),2016,Francia,TV,6.32,87
7091,London 2012 Olympic Opening Ceremony: Isles of Wonder (TV),2012,Reino Unido,TV,7.33,86
7092,Gulag (TV),1985,Estados Unidos,TV,6.15,80
7093,"La Oveja Shaun, Championsheeps (Serie de TV)",2012,Reino Unido,Serie de TV,6.75,75
7094,Berlin '36,2009,Alemania,Película,6.29,70
7095,El nuevo Karate Kid,1994,Estados Unidos,Película,3.46,8017
7096,Campeón de campeones,1989,Estados Unidos,Película,5.46,1377
7097,Karate Kimura,1987,Italia,Película,3.28,441
7098,Cinturón negro (Black Belt),2007,Japón,Película,6.56,352
7099,Karate Kimura 2,1988,Italia,Película,3.1,199
7100,John G. Avildsen: el gran desconocido,2017,Estados Unidos,Película,6.1,86
7101,Los Kalatrava contra el imperio del karate,1974,España,Película,1.75,81
7102,La danza de las sombras,1986,Australia,Película,3.9,77
7103,Karate kimura 3,1991,Italia,Película,2.22,63
7104,Kárate contra mafia,1981,España,Película,3.85,53
7105,Karate Girl,1974,Turquía,Película,2.54,46
7106,Karate Kimura 4,1992,Italia,Película,2.0,44
7107,Karate Rock,1990,Italia,Película,2.42,43
7108,Karate Girl,2011,Japón,Película,3.85,41
7109,High Kick Girl!,2009,Japón,Película,4.53,38
7110,El auténtico Miyagi,2015,Estados Unidos,Película,6.34,35
7111,Los crímenes del Dr. Mabuse,1960,Alemania del Oeste (RFA),Película,7.22,1426
7112,Sherlock Holmes y el collar de la muerte,1962,Alemania del Oeste (RFA),Película,5.7,315
7113,Los ojos muertos de Londres,1961,Alemania del Oeste (RFA),Película,6.0,161
7114,Hipnosis,1962,Italia,Película,5.66,154
7115,El pañuelo asesino,1963,Alemania del Oeste (RFA),Película,6.1,103
7116,La puerta de las siete cerraduras,1962,Alemania del Oeste (RFA),Película,5.76,97
7117,El círculo rojo,1960,Alemania del Oeste (RFA),Película,5.6,78
7118,El mensajero de la muerte,1968,Alemania del Oeste (RFA),Película,5.33,70
7119,El delator,1963,Alemania del Oeste (RFA),Película,5.42,67
7120,El falsificador de Londres,1961,Alemania del Oeste (RFA),Película,5.58,64
7121,El Brujo,1964,Alemania del Oeste (RFA),Película,5.9,60
7122,La banda de la rana,1959,Alemania del Oeste (RFA),Película,5.8,59
7123,El doctor Mabuse,1972,Alemania del Oeste (RFA),Película,4.13,53
7124,La banda del terror,1960,Alemania del Oeste (RFA),Película,5.56,52
7125,El diablo que vino de Akasawa,1971,Alemania del Oeste (RFA),Película,4.75,51
7126,El encapuchado (El monje siniestro),1965,Alemania del Oeste (RFA),Película,5.58,50
7127,Gángsters en Londres,1962,Alemania del Oeste (RFA),Película,5.35,43
7128,Misterio en el castillo Cornerflett,1961,Alemania del Oeste (RFA),Película,5.4,40
7129,El misterio de los narcisos amarillos,1961,Alemania del Oeste (RFA),Película,4.92,36
7130,Vuelve el Brujo,1965,Alemania del Oeste (RFA),Película,5.78,36
7131,El muerto hace las maletas,1972,Alemania del Oeste (RFA),Película,4.69,35
7132,El misterio del cuarto número 13,1964,Alemania del Oeste (RFA),Película,5.7,33
7133,El Dios de la muerte asesina otra vez,1972,Italia,Película,5.09,32
7134,La LEGO película,2014,Australia,Película,6.71,24012
7135,La LEGO película 2,2019,Estados Unidos,Película,5.81,2738
7136,La LEGO Ninjago película,2017,Estados Unidos,Película,5.3,1222
7137,Lego Batman: La película. El regreso de los superhéroes de DC,2013,Estados Unidos,Película,5.52,883
7138,Lego Star Wars: Especial Felices Fiestas (TV),2020,Estados Unidos,TV,6.16,469
7139,Lego Star Wars: La Amenaza Padawan (TV) (C),2011,Estados Unidos,Cortometraje,5.84,454
7140,LEGO Jurassic World: Indominus se escapa (TV) (C),2016,Estados Unidos,Cortometraje,4.58,383
