id_peli,id_act
9419,0
9420,0
9427,0
9465,0
9470,0
9693,0
9723,0
9734,0
9750,0
9752,0
9759,0
9816,0
9819,0
9821,0
9822,0
9825,0
9827,0
9829,0
9832,0
9834,0
9835,0
9877,0
10003,0
10111,0
10117,0
10122,0
10142,0
10145,0
10222,0
10229,0
10233,0
10235,0
10237,0
10238,0
10240,0
10242,0
10248,0
10249,0
10374,0
10403,0
10413,0
10433,0
10439,0
10443,0
10468,0
10471,0
10511,0
10513,0
10518,0
10519,0
10520,0
10573,0
10574,0
10575,0
10576,0
10582,0
10587,0
10590,0
10593,0
10595,0
10600,0
10603,0
10605,0
10739,0
10740,0
10747,0
10749,0
10751,0
10754,0
10755,0
10756,0
10758,0
10763,0
10765,0
10778,0
10798,0
10870,0
10876,0
10877,0
10879,0
10880,0
10881,0
10882,0
10884,0
10885,0
10935,0
10938,0
10954,0
10961,0
10962,0
10964,0
11005,0
11008,0
11016,0
11017,0
11020,0
11053,0
11054,0
11055,0
11056,0
11057,0
11058,0
11059,0
11060,0
11061,0
11063,0
11064,0
11065,0
11066,0
11067,0
11068,0
11070,0
11071,0
11072,0
11073,0
11074,0
11076,0
11077,0
11078,0
11081,0
11082,0
11083,0
11084,0
11085,0
11086,0
11087,0
11088,0
11089,0
11090,0
11127,0
11254,0
11266,0
11268,0
11275,0
11276,0
11302,0
11381,0
11384,0
11385,0
11397,0
11400,0
11410,0
11411,0
11413,0
1,1
56,1
592,1
1051,1
1194,1
1201,1
1472,1
2228,1
2381,1
4824,1
5412,1
5925,1
7745,1
8830,1
8866,1
1,2
78,2
756,2
801,2
1191,2
1303,2
2269,2
4939,2
5176,2
5608,2
8322,2
8937,2
1,3
2123,3
1,4
200,4
396,4
663,4
1067,4
1112,4
1145,4
1497,4
2727,4
3151,4
5311,4
5692,4
5760,4
8870,4
9261,4
10108,4
10806,4
1,5
172,5
977,5
4759,5
4982,5
5050,5
8858,5
10811,5
1,6
761,6
1014,6
1033,6
1135,6
1341,6
1487,6
1866,6
2202,6
2278,6
2330,6
3091,6
3255,6
3832,6
3838,6
4758,6
4942,6
5161,6
5165,6
5181,6
5316,6
5656,6
6573,6
6694,6
6745,6
7311,6
8399,6
8866,6
1,7
61,7
65,7
1480,7
1484,7
1842,7
2034,7
2040,7
2266,7
3193,7
3203,7
3556,7
4027,7
5334,7
7397,7
7492,7
1,8
280,8
1018,8
1363,8
2212,8
2600,8
2728,8
3258,8
4706,8
4909,8
7319,8
8869,8
8875,8
9339,8
9488,8
10522,8
1,9
756,9
1039,9
1182,9
3747,9
4943,9
5660,9
5666,9
5879,9
6082,9
6139,9
6256,9
7209,9
8321,9
8525,9
1,10
108,10
413,10
5716,10
7442,10
7544,10
7547,10
7824,10
7832,10
7839,10
8608,10
2,11
210,11
847,11
954,11
979,11
1161,11
1781,11
2612,11
3248,11
3254,11
3268,11
3398,11
4087,11
4730,11
4781,11
5166,11
7032,11
7972,11
9175,11
9180,11
9361,11
9727,11
10732,11
2,12
98,12
100,12
386,12
397,12
1058,12
1061,12
1132,12
1161,12
1195,12
1842,12
2052,12
2418,12
2613,12
